Iso Code	Language Name	Country	Region
abi	Abidji	Ivory Coast	Africa
ace	Aceh	Indonesia	Asia
aca	Achagua	Colombia	South America
acn	Achang	China, Myanmar	Asia
acr	Achi	Guatemala	Central America
ach	Acholi	Uganda, South Sudan	Africa
acu	Achuar-Shiwiar	Ecuador, Peru	South America
guq	Aché	Paraguay	South America
ade	Adele	Ghana, Togo	Africa
adj	Adioukrou	Ivory Coast	Africa
agd	Agarabi	Papua New Guinea	Oceania
agx	Aghul	Russia	Europe
agn	Agutaynen	Philippines	Asia
aha	Ahanta	Ghana	Africa
aka	Akan	Ghana	Africa
knj	Akateko	Guatemala	Central America
ake	Akawaio	Guyana, Venezuela	South America
aeu	Akeu	Myanmar	Asia
ahk	Akha	China, Laos, Myanmar, Thailand	Asia
bss	Akoose	Cameroon	Africa
alj	Alangan	Philippines	Asia
sqi	Albanian	Albania	Europe
alt	Altai, Southern	Russia	Asia
alp	Alune	Indonesia	Asia
alz	Alur	Uganda	Africa
kab	Amazigh	Algeria, Morocco	Africa
amk	Ambai	Indonesia	Asia
mmg	Ambrym, North	Vanuatu	Oceania
amh	Amharic	Ethiopia	Africa
ami	Amis	Taiwan	Asia
azg	Amuzgo, San Pedro Amuzgos	Mexico	North America
agg	Angor	Papua New Guinea	Oceania
boj	Anjam	Papua New Guinea	Oceania
cko	Anufo	Ghana	Africa
any	Anyin	Ivory Coast, Ghana	Africa
arl	Arabela	Peru	South America
ara	Arabic	Multiple Countries	Asia, Africa
atq	Aralle-Tabulahan	Indonesia	Asia
luc	Aringa	Uganda	Africa
hyw	Armenian, Western	Turkey	Asia
apr	Arop-Lokep	Papua New Guinea	Oceania
aia	Arosi	Solomon Islands	Oceania
msy	Aruamu	Papua New Guinea	Oceania
cni	Asháninka	Peru	South America
cjo	Ashéninka, Pajonal	Peru	South America
cpu	Ashéninka, Pichis	Peru	South America
cpb	Ashéninka, Ucayali-Yurúa	Peru	South America
asm	Assamese	India	Asia
asa	Asu	Tanzania	Africa
teo	Ateso	Uganda, Kenya	Africa
ati	Attié	Ivory Coast	Africa
djk	Aukan	Suriname	South America
ava	Avar	Russia	Europe
avn	Avatime	Ghana	Africa
avu	Avokaya	South Sudan, Uganda	Africa
awb	Awa	Papua New Guinea	Oceania
kwi	Awa-Cuaiquer	Colombia, Ecuador	South America
awa	Awadhi	India	Asia
agr	Awajún	Peru	South America
agu	Awakateko	Guatemala	Central America
ayr	Aymara, Central	Bolivia, Peru	South America
ayo	Ayoreo	Bolivia, Paraguay	South America
abp	Ayta, Abellen	Philippines	Asia
blx	Ayta, Mag-Indi	Philippines	Asia
sgb	Ayta, Mag-antsi	Philippines	Asia
azj-script_cyrillic	Azerbaijani, North	Azerbaijan	Asia
azj-script_latin	Azerbaijani, North	Azerbaijan	Asia
azb	Azerbaijani, South	Iran	Asia
bba	Baatonum	Benin, Nigeria	Africa
bhz	Bada	Nigeria	Africa
bvc	Baelelea	Solomon Islands	Oceania
bfy	Bagheli	India	Asia
bgq	Bagri	India	Asia
bdq	Bahnar	Vietnam	Asia
bdh	Baka	Cameroon	Africa
bqi	Bakhtiâri	Iran	Asia
bjw	Bakwé	Ivory Coast	Africa
blz	Balantak	Indonesia	Asia
ban	Bali	Indonesia	Asia
bcc-script_latin	Balochi, Southern	Pakistan	Asia
bcc-script_arabic	Balochi, Southern	Pakistan	Asia
bam	Bamanankan	Mali	Africa
ptu	Bambam	Indonesia	Asia
